"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","E3_06_14",15,18,3.7e-24,-0.197927513443586,0.4847
"ribosome biogenesis","E3_06_14",20,13,3.7e-24,0.634962500721156,0.1457
"rRNA metabolic process","E3_06_14",10,11,3.7e-24,-0.075530882083859,0.7727
"proteasome-mediated ubiquitin-dependent protein catabolic process","E3_06_14",13,18,3.7e-24,-0.390572591385981,0.2072
"regulation of response to DNA damage stimulus","E3_06_14",14,14,3.7e-24,0.05,1
"establishment of protein localization to organelle","E3_06_14",19,18,3.7e-24,0.124000581443777,0.9056
"macroautophagy","E3_06_14",14,14,3.7e-24,0.05,1
"regulation of chromosome organization","E3_06_14",13,10,3.7e-24,0.397923303420307,0.442
"Golgi vesicle transport","E3_06_14",8,14,3.7e-24,-0.686965594166206,0.0714
"double-strand break repair","E3_06_14",9,13,3.7e-24,-0.435426827170242,0.233
"histone modification","E3_06_14",15,19,3.7e-24,-0.271928094887362,0.3671
"sister chromatid segregation","E3_06_14",9,11,3.7e-24,-0.213034405833794,0.549
"DNA replication","E3_06_14",14,12,3.7e-24,0.256450877467426,0.6708
"chromosome segregation","E3_06_14",12,18,3.7e-24,-0.497487795302493,0.1089
"mitochondrial gene expression","E3_06_14",6,7,3.7e-24,-0.142645077942396,0.7128
"nucleocytoplasmic transport","E3_06_14",11,13,3.7e-24,-0.172392421336448,0.5895
"nuclear transport","E3_06_14",11,14,3.7e-24,-0.271928094887362,0.4322
"regulation of DNA repair","E3_06_14",11,10,3.7e-24,0.175530882083859,0.876
"peptidyl-lysine modification","E3_06_14",21,18,3.7e-24,0.261504105193712,0.5483
"protein targeting","E3_06_14",12,15,3.7e-24,-0.249560281858908,0.4373
"cytoplasmic translation","E3_06_14",7,8,3.7e-24,-0.119925001442312,0.7385
"regulation of autophagy","E3_06_14",9,12,3.7e-24,-0.32851162325373,0.3918
"signal transduction in response to DNA damage","E3_06_14",6,9,3.7e-24,-0.464573172829758,0.2868
"regulation of intracellular transport","E3_06_14",16,15,3.7e-24,0.137462841250339,0.899
"protein localization to nucleus","E3_06_14",9,13,3.7e-24,-0.435426827170242,0.2295
"microtubule cytoskeleton organization involved in mitosis","E3_06_14",2,7,3.7e-24,-1.36503749927884,0.026
"telomere maintenance","E3_06_14",9,7,3.7e-24,0.371928094887362,0.5667
"cell cycle checkpoint signaling","E3_06_14",7,8,3.7e-24,-0.119925001442312,0.7342
"regulation of protein modification by small protein conjugation or removal","E3_06_14",15,12,3.7e-24,0.349560281858908,0.4777
"cellular respiration","E3_06_14",11,9,3.7e-24,0.313034405833794,0.6252
"cellular component disassembly","E3_06_14",13,18,3.7e-24,-0.390572591385981,0.2088
"nuclear chromosome segregation","E3_06_14",7,13,3.7e-24,-0.757354922057604,0.0528
"regulation of protein stability","E3_06_14",11,13,3.7e-24,-0.172392421336448,0.5906
"regulation of cell cycle phase transition","E3_06_14",16,18,3.7e-24,-0.110464672193246,0.6464
"regulation of protein catabolic process","E3_06_14",14,14,3.7e-24,0.05,1
"response to endoplasmic reticulum stress","E3_06_14",12,10,3.7e-24,0.291008099503795,0.6438
"vesicle organization","E3_06_14",11,14,3.7e-24,-0.271928094887362,0.4262
"mitochondrial respiratory chain complex assembly","E3_06_14",5,4,3.7e-24,0.313034405833794,0.8096
"DNA-templated transcription elongation","E3_06_14",7,6,3.7e-24,0.242645077942396,0.8429
"mitochondrial transport","E3_06_14",8,8,3.7e-24,0.05,1
"establishment of organelle localization","E3_06_14",6,17,3.7e-24,-1.31257007938471,0.0016
"regulation of intracellular protein transport","E3_06_14",4,9,3.7e-24,-0.95,0.0484
"response to UV","E3_06_14",3,7,3.7e-24,-0.95,0.1004
"RNA localization","E3_06_14",7,7,3.7e-24,0.05,1
"response to topologically incorrect protein","E3_06_14",7,7,3.7e-24,0.05,1
"organelle fission","E3_06_14",14,20,3.7e-24,-0.435426827170242,0.1274
"non-membrane-bounded organelle assembly","E3_06_14",15,15,3.7e-24,0.05,1
"protein polyubiquitination","E3_06_14",7,10,3.7e-24,-0.409431618637297,0.3003
"methylation","E3_06_14",8,13,3.7e-24,-0.587429920615292,0.1095
"phospholipid biosynthetic process","E3_06_14",4,11,3.7e-24,-1.21303440583379,0.0187
"oxidative phosphorylation","E3_06_14",5,6,3.7e-24,-0.172392421336448,0.6942
"establishment of protein localization to membrane","E3_06_14",8,11,3.7e-24,-0.365037499278844,0.3161
"in utero embryonic development","E3_06_14",10,14,3.7e-24,-0.397458976971221,0.2415
"vacuole organization","E3_06_14",10,9,3.7e-24,0.187503523749935,0.8647
"nuclear-transcribed mRNA catabolic process","E3_06_14",9,6,3.7e-24,0.564573172829758,0.3008
"protein folding","E3_06_14",6,9,3.7e-24,-0.464573172829758,0.2642
"DNA conformation change","E3_06_14",7,4,3.7e-24,0.728071905112638,0.3337
"regulation of chromosome segregation","E3_06_14",3,6,3.7e-24,-0.757354922057604,0.1553
"regulation of apoptotic signaling pathway","E3_06_14",17,15,3.7e-24,0.219925001442312,0.6958
"cell cycle G2/M phase transition","E3_06_14",4,6,3.7e-24,-0.435426827170242,0.4371
"vacuolar transport","E3_06_14",2,7,3.7e-24,-1.36503749927884,0.037
"response to ionizing radiation","E3_06_14",3,6,3.7e-24,-0.757354922057604,0.1702
"cellular response to UV","E3_06_14",4,4,3.7e-24,0.05,1
"regulation of binding","E3_06_14",10,13,3.7e-24,-0.297923303420307,0.4084
"nucleic acid transport","E3_06_14",5,8,3.7e-24,-0.534962500721156,0.2593
"RNA transport","E3_06_14",3,6,3.7e-24,-0.757354922057604,0.1384
"ribonucleoprotein complex subunit organization","E3_06_14",4,10,3.7e-24,-1.08750352374993,0.0321
"regulation of DNA replication","E3_06_14",2,6,3.7e-24,-1.17239242133645,0.0522
"ribose phosphate metabolic process","E3_06_14",12,18,3.7e-24,-0.497487795302493,0.1058
"proton motive force-driven ATP synthesis","E3_06_14",5,4,3.7e-24,0.313034405833794,0.7969
"ribonucleotide metabolic process","E3_06_14",12,17,3.7e-24,-0.41948528330122,0.2048
"telomere organization","E3_06_14",3,7,3.7e-24,-0.95,0.0714
"cellular response to topologically incorrect protein","E3_06_14",4,5,3.7e-24,-0.213034405833794,0.6859
"Golgi organization","E3_06_14",4,6,3.7e-24,-0.435426827170242,0.432
"ribonucleoprotein complex assembly","E3_06_14",8,9,3.7e-24,-0.10200309344505,0.7481
"cellular nitrogen compound catabolic process","E3_06_14",14,18,3.7e-24,-0.291036917835067,0.315
"negative regulation of phosphorus metabolic process","E3_06_14",15,18,3.7e-24,-0.197927513443586,0.4922
"heterocycle catabolic process","E3_06_14",13,18,3.7e-24,-0.390572591385981,0.2095
"mitochondrial membrane organization","E3_06_14",5,5,3.7e-24,0.05,1
"regulation of protein-containing complex assembly","E3_06_14",14,16,3.7e-24,-0.130572245641821,0.6294
"positive regulation of cellular component biogenesis","E3_06_14",16,18,3.7e-24,-0.110464672193246,0.6394
"response to oxidative stress","E3_06_14",12,17,3.7e-24,-0.41948528330122,0.2006
"regulation of supramolecular fiber organization","E3_06_14",16,14,3.7e-24,0.230572245641821,0.7015
"positive regulation of protein localization","E3_06_14",12,17,3.7e-24,-0.41948528330122,0.192
"positive regulation of cell projection organization","E3_06_14",11,13,3.7e-24,-0.172392421336448,0.5988
"negative regulation of transferase activity","E3_06_14",7,10,3.7e-24,-0.409431618637297,0.2855
"autophagy of mitochondrion","E3_06_14",1,4,3.7e-24,-1.27192809488736,0.1048
"positive regulation of amide metabolic process","E3_06_14",5,7,3.7e-24,-0.365037499278844,0.4758
"chromatin remodeling","E3_06_14",8,14,3.7e-24,-0.686965594166206,0.0691
"viral process","E3_06_14",13,15,3.7e-24,-0.142645077942396,0.6132
"macromolecule deacylation","E3_06_14",4,6,3.7e-24,-0.435426827170242,0.452
"mitotic cytokinesis","E3_06_14",2,3,3.7e-24,-0.365037499278844,0.5998
"aromatic compound catabolic process","E3_06_14",12,18,3.7e-24,-0.497487795302493,0.1307
"vesicle localization","E3_06_14",4,8,3.7e-24,-0.79799690655495,0.1069
"establishment or maintenance of cell polarity","E3_06_14",9,8,3.7e-24,0.20200309344505,0.8626
"Wnt signaling pathway","E3_06_14",11,18,3.7e-24,-0.612965012722429,0.054
"cell-cell signaling by wnt","E3_06_14",14,17,3.7e-24,-0.213034405833794,0.4744
"ATP metabolic process","E3_06_14",2,8,3.7e-24,-1.53496250072116,0.0164
"cellular response to chemical stress","E3_06_14",5,13,3.7e-24,-1.17239242133645,0.0105
"regulation of vacuole organization","E3_06_14",1,2,3.7e-24,-0.534962500721156,0.5349
"cellular response to external stimulus","E3_06_14",5,12,3.7e-24,-1.06547721741994,0.0166
"negative regulation of protein phosphorylation","E3_06_14",12,14,3.7e-24,-0.156450877467426,0.6016
"negative regulation of catabolic process","E3_06_14",13,13,3.7e-24,0.05,1
"regulation of microtubule cytoskeleton organization","E3_06_14",3,5,3.7e-24,-0.534962500721156,0.3025
"chromosome localization","E3_06_14",5,3,3.7e-24,0.634962500721156,0.4002
"negative regulation of mitotic nuclear division","E3_06_14",0,2,3.7e-24,-1.53496250072116,0.1169
"regulation of actin filament organization","E3_06_14",7,10,3.7e-24,-0.409431618637297,0.3086
"dephosphorylation","E3_06_14",13,12,3.7e-24,0.156915203916512,0.8841
"glycosylation","E3_06_14",5,10,3.7e-24,-0.824469117916141,0.0616
"positive regulation of establishment of protein localization","E3_06_14",7,13,3.7e-24,-0.757354922057604,0.0716
"regulation of microtubule-based process","E3_06_14",5,10,3.7e-24,-0.824469117916141,0.0751
"cell-substrate junction organization","E3_06_14",2,4,3.7e-24,-0.686965594166206,0.2715
"protein-containing complex localization","E3_06_14",5,6,3.7e-24,-0.172392421336448,0.7007
"mitochondrial transmembrane transport","E3_06_14",5,3,3.7e-24,0.634962500721156,0.3886
"stem cell population maintenance","E3_06_14",8,7,3.7e-24,0.219925001442312,0.8518
"ribosome assembly","E3_06_14",3,3,3.7e-24,0.05,1
"intraciliary transport","E3_06_14",3,2,3.7e-24,0.465037499278844,0.7324
"Golgi to plasma membrane protein transport","E3_06_14",0,2,3.7e-24,-1.53496250072116,0.1551
"response to amino acid starvation","E3_06_14",3,3,3.7e-24,0.05,1
"cellular response to extracellular stimulus","E3_06_14",10,9,3.7e-24,0.187503523749935,0.8651
"cell growth","E3_06_14",14,19,3.7e-24,-0.365037499278844,0.216
"protein glycosylation","E3_06_14",4,8,3.7e-24,-0.79799690655495,0.1027
"macromolecule glycosylation","E3_06_14",11,9,3.7e-24,0.313034405833794,0.6178
"maintenance of cell number","E3_06_14",8,7,3.7e-24,0.219925001442312,0.8491
"response to reactive oxygen species","E3_06_14",7,7,3.7e-24,0.05,1
"regulation of cell morphogenesis","E3_06_14",3,9,3.7e-24,-1.27192809488736,0.0243
"regulation of cellular component size","E3_06_14",10,13,3.7e-24,-0.297923303420307,0.411
"cell-substrate junction assembly","E3_06_14",3,3,3.7e-24,0.05,1
"membrane fission","E3_06_14",1,2,3.7e-24,-0.534962500721156,0.5489
"membrane docking","E3_06_14",3,4,3.7e-24,-0.271928094887362,0.6594
"fibroblast migration","E3_06_14",1,2,3.7e-24,-0.534962500721156,0.5375
"nucleus organization","E3_06_14",5,5,3.7e-24,0.05,1
"regulation of cell growth","E3_06_14",11,15,3.7e-24,-0.365037499278844,0.263
"fibroblast proliferation","E3_06_14",4,4,3.7e-24,0.05,1
"cell cycle G1/S phase transition","E3_06_14",10,11,3.7e-24,-0.075530882083859,0.772
"actin filament organization","E3_06_14",19,15,3.7e-24,0.371928094887362,0.3714
"response to oxygen levels","E3_06_14",11,13,3.7e-24,-0.172392421336448,0.5861
"epigenetic regulation of gene expression","E3_06_14",4,8,3.7e-24,-0.79799690655495,0.1131
"organelle fusion","E3_06_14",10,7,3.7e-24,0.509431618637297,0.3481
"lipoprotein metabolic process","E3_06_14",9,5,3.7e-24,0.786965594166206,0.1929
"protein lipidation","E3_06_14",2,4,3.7e-24,-0.686965594166206,0.2833
"regulation of plasma membrane bounded cell projection assembly","E3_06_14",8,8,3.7e-24,0.05,1
"regulation of actin filament-based process","E3_06_14",5,13,3.7e-24,-1.17239242133645,0.0063
"regulation of GTPase activity","E3_06_14",13,13,3.7e-24,0.05,1
"nuclear envelope organization","E3_06_14",2,2,3.7e-24,0.05,1
