"","condition","cycle","region","log2fc.mean","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met"
"1","control","1","ATP metabolic process",-0.14431980242537,7,2.33333333333333,2.08166599946613,0.892142571199771,2,0.389822138957203,1,NA,"GO:0046034",129,"FALSE"
"2","control","1","COPII vesicle coating",0.333333333333333,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0.816311401334847,1,NA,"GO:0048208",47,"FALSE"
"3","control","1","DNA conformation change",-0.333333333333333,2,0.666666666666667,0.577350269189626,0.866025403784439,1,0.967987308316008,1,NA,"GO:0071103",47,"FALSE"
"4","control","1","DNA replication",-0.861654166907053,3,1,1,1,2.33333333333333,0.261907386681829,1,NA,"GO:0006260",12,"FALSE"
"5","control","1","DNA-templated transcription elongation",0.0566416671474373,4,1.33333333333333,1.15470053837925,0.866025403784439,1,0.732244030829548,1,NA,"GO:0006354",306,"FALSE"
"6","control","1","G0 to G1 transition",0.333333333333333,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0.735116538464758,1,NA,"GO:0045023",47,"FALSE"
"7","control","1","GPI anchor biosynthetic process",0,0,0,0,NA,0,1,1,NA,"GO:0006506",747,"FALSE"
"8","control","1","Golgi organization",-0.666666666666667,1,0.333333333333333,0.577350269189626,1.73205080756888,1,0.775004108278688,1,NA,"GO:0007030",20,"FALSE"
"9","control","1","Golgi to plasma membrane protein transport",0.52832083357372,2,0.666666666666667,1.15470053837925,1.73205080756888,0,0.385175445734236,1,NA,"GO:0043001",26,"FALSE"
"10","control","1","Golgi vesicle transport",-0.559357301704214,6,2,2,1,2.66666666666667,0.367825353106517,1,NA,"GO:0048193",25,"FALSE"
"11","control","1","NADP metabolic process",0.666666666666667,2,0.666666666666667,0.577350269189626,0.866025403784439,0,0.526321189217838,1,NA,"GO:0006739",20,"FALSE"
"12","control","1","NADPH regeneration",0.333333333333333,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0.769883356375772,1,NA,"GO:0006740",47,"FALSE"
"13","control","1","RNA localization",-0.389975000480771,4,1.33333333333333,0.577350269189626,0.433012701892219,2,0.869194756654032,1,NA,"GO:0006403",38,"FALSE"
