"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6467
"ribosome biogenesis","C1_05_24",0,1,3.7e-24,-1,0.4308
"rRNA metabolic process","C1_05_24",0,1,3.7e-24,-1,0.4932
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6643
"regulation of response to DNA damage stimulus","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6276
"establishment of protein localization to organelle","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6403
"macroautophagy","C1_05_24",0,1,3.7e-24,-1,0.4218
"regulation of chromosome organization","C1_05_24",1,1,3.7e-24,0,1
"Golgi vesicle transport","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6326
"double-strand break repair","C1_05_24",0,1,3.7e-24,-1,0.4475
"histone modification","C1_05_24",1,1,3.7e-24,0,1
"sister chromatid segregation","C1_05_24",0,1,3.7e-24,-1,0.4884
"DNA replication","C1_05_24",1,1,3.7e-24,0,1
"chromosome segregation","C1_05_24",1,1,3.7e-24,0,1
"mitochondrial gene expression","C1_05_24",1,0,3.7e-24,1,0.3914
"nucleocytoplasmic transport","C1_05_24",0,1,3.7e-24,-1,0.4506
"nuclear transport","C1_05_24",1,1,3.7e-24,0,1
"regulation of DNA repair","C1_05_24",0,1,3.7e-24,-1,0.523
"peptidyl-lysine modification","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6322
"protein targeting","C1_05_24",0,1,3.7e-24,-1,0.434
"cytoplasmic translation","C1_05_24",0,0,3.7e-24,0,1
"regulation of autophagy","C1_05_24",1,1,3.7e-24,0,1
"signal transduction in response to DNA damage","C1_05_24",1,0,3.7e-24,1,0.4392
"regulation of intracellular transport","C1_05_24",1,1,3.7e-24,0,1
"protein localization to nucleus","C1_05_24",0,1,3.7e-24,-1,0.4714
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",0,0,3.7e-24,0,1
"telomere maintenance","C1_05_24",1,0,3.7e-24,1,0.3777
"cell cycle checkpoint signaling","C1_05_24",0,0,3.7e-24,0,1
"regulation of protein modification by small protein conjugation or removal","C1_05_24",1,1,3.7e-24,0,1
"cellular respiration","C1_05_24",1,1,3.7e-24,0,1
"cellular component disassembly","C1_05_24",3,1,3.7e-24,1,0.4161
"nuclear chromosome segregation","C1_05_24",0,1,3.7e-24,-1,0.4525
"regulation of protein stability","C1_05_24",0,1,3.7e-24,-1,0.4554
"regulation of cell cycle phase transition","C1_05_24",0,1,3.7e-24,-1,0.4061
"regulation of protein catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4251
"response to endoplasmic reticulum stress","C1_05_24",0,1,3.7e-24,-1,0.4923
"vesicle organization","C1_05_24",1,1,3.7e-24,0,1
"mitochondrial respiratory chain complex assembly","C1_05_24",0,0,3.7e-24,0,1
"DNA-templated transcription elongation","C1_05_24",0,0,3.7e-24,0,1
"mitochondrial transport","C1_05_24",0,0,3.7e-24,0,1
"establishment of organelle localization","C1_05_24",2,1,3.7e-24,0.584962500721156,0.637
"regulation of intracellular protein transport","C1_05_24",0,0,3.7e-24,0,1
"response to UV","C1_05_24",1,0,3.7e-24,1,0.3989
"RNA localization","C1_05_24",0,0,3.7e-24,0,1
"response to topologically incorrect protein","C1_05_24",0,0,3.7e-24,0,1
"organelle fission","C1_05_24",0,1,3.7e-24,-1,0.4124
"non-membrane-bounded organelle assembly","C1_05_24",1,1,3.7e-24,0,1
"protein polyubiquitination","C1_05_24",0,1,3.7e-24,-1,0.5032
"methylation","C1_05_24",0,1,3.7e-24,-1,0.4551
"phospholipid biosynthetic process","C1_05_24",0,1,3.7e-24,-1,0.514
"oxidative phosphorylation","C1_05_24",0,0,3.7e-24,0,1
"establishment of protein localization to membrane","C1_05_24",1,1,3.7e-24,0,1
"in utero embryonic development","C1_05_24",1,1,3.7e-24,0,1
"vacuole organization","C1_05_24",1,0,3.7e-24,1,0.4338
"nuclear-transcribed mRNA catabolic process","C1_05_24",2,0,3.7e-24,1.58496250072116,0.066
"protein folding","C1_05_24",0,0,3.7e-24,0,1
"DNA conformation change","C1_05_24",0,0,3.7e-24,0,1
"regulation of chromosome segregation","C1_05_24",0,0,3.7e-24,0,1
"regulation of apoptotic signaling pathway","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6334
"cell cycle G2/M phase transition","C1_05_24",0,0,3.7e-24,0,1
"vacuolar transport","C1_05_24",1,0,3.7e-24,1,0.4004
"response to ionizing radiation","C1_05_24",1,0,3.7e-24,1,0.3841
"cellular response to UV","C1_05_24",0,0,3.7e-24,0,1
"regulation of binding","C1_05_24",1,1,3.7e-24,0,1
"nucleic acid transport","C1_05_24",0,0,3.7e-24,0,1
"RNA transport","C1_05_24",0,0,3.7e-24,0,1
"ribonucleoprotein complex subunit organization","C1_05_24",0,0,3.7e-24,0,1
"regulation of DNA replication","C1_05_24",1,0,3.7e-24,1,0.3671
"ribose phosphate metabolic process","C1_05_24",0,1,3.7e-24,-1,0.4119
"proton motive force-driven ATP synthesis","C1_05_24",0,0,3.7e-24,0,1
